player_id,homeruns,game_id,date
592450,1,718781,2023-03-30
650402,1,718781,2023-03-30
668939,1,718782,2023-03-30
602104,1,718782,2023-03-30
642350,1,718776,2023-03-30
677551,1,718776,2023-03-30
664761,1,718779,2023-03-30
543543,1,718779,2023-03-30
543257,1,718779,2023-03-30
665833,1,718773,2023-03-30
668715,1,718773,2023-03-30
641933,1,718772,2023-03-30
680977,1,718772,2023-03-30
643265,1,718774,2023-03-30
518735,1,718768,2023-03-30
670541,1,718768,2023-03-30
543068,2,718778,2023-03-30
660707,1,718778,2023-03-30
681546,1,718770,2023-03-30
664034,1,718767,2023-03-30
624413,1,718771,2023-03-31
624585,1,718771,2023-03-31
665862,1,718771,2023-03-31
663656,1,718764,2023-03-31
453568,1,718766,2023-03-31
641786,1,718765,2023-03-31
605141,1,718765,2023-03-31
660162,1,718760,2023-04-01
664874,1,718760,2023-04-01
664023,1,718758,2023-04-01
543760,1,718752,2023-04-01
641598,2,718752,2023-04-01
621566,2,718753,2023-04-01
660670,1,718753,2023-04-01
542303,1,718753,2023-04-01
660688,1,718753,2023-04-01
592626,1,718762,2023-04-01
543063,1,718762,2023-04-01
518626,1,718762,2023-04-01
519317,1,718762,2023-04-01
621493,1,718757,2023-04-01
657656,1,718757,2023-04-01
663624,1,718761,2023-04-01
669720,1,718761,2023-04-01
656775,1,718761,2023-04-01
594807,2,718761,2023-04-01
571771,1,718761,2023-04-01
657077,1,718761,2023-04-01
663697,1,718756,2023-04-01
641584,1,718756,2023-04-01
621028,1,718756,2023-04-01
650490,1,718754,2023-04-01
592192,1,718755,2023-04-01
663743,1,718755,2023-04-01
543068,1,718750,2023-04-01
593428,1,718750,2023-04-01
572233,1,718749,2023-04-01
502110,1,718749,2023-04-01
572204,3,718749,2023-04-01
647304,1,718746,2023-04-01
665926,1,718746,2023-04-01
668670,1,718742,2023-04-02
668227,1,718742,2023-04-02
624428,1,718748,2023-04-02
656775,1,718748,2023-04-02
571771,1,718748,2023-04-02
592450,1,718747,2023-04-02
543309,1,718747,2023-04-02
519317,1,718747,2023-04-02
668804,1,718744,2023-04-02
670770,1,718744,2023-04-02
613564,1,718744,2023-04-02
502054,1,718741,2023-04-02
608336,2,718745,2023-04-02
658668,1,718745,2023-04-02
622110,1,718745,2023-04-02
660162,1,718740,2023-04-02
673357,1,718740,2023-04-02
669357,2,718737,2023-04-02
676475,1,718737,2023-04-02
680977,1,718737,2023-04-02
621550,2,718738,2023-04-02
545361,1,718734,2023-04-02
660271,1,718734,2023-04-02
681351,1,718734,2023-04-02
669257,1,718736,2023-04-02
641857,1,718733,2023-04-02
593428,1,718733,2023-04-02
663757,1,718733,2023-04-02
572287,1,718735,2023-04-02
677594,1,718735,2023-04-02
673962,1,718739,2023-04-02
605119,1,718731,2023-04-03
668930,1,718731,2023-04-03
624424,1,718730,2023-04-03
642731,1,718730,2023-04-03
592626,1,718730,2023-04-03
681584,2,718730,2023-04-03
669369,1,718730,2023-04-03
573262,1,718730,2023-04-03
673357,1,718730,2023-04-03
641355,1,718728,2023-04-03
613564,1,718728,2023-04-03
680777,1,718729,2023-04-03
608336,1,718729,2023-04-03
596146,1,718729,2023-04-03
663616,1,718729,2023-04-03
670623,1,718732,2023-04-03
670042,2,718732,2023-04-03
600869,1,718732,2023-04-03
519203,1,718725,2023-04-03
650402,1,718725,2023-04-03
668804,2,718724,2023-04-03
641511,1,718724,2023-04-03
646240,1,718724,2023-04-03
807799,1,718724,2023-04-03
671213,1,718724,2023-04-03
666182,1,718719,2023-04-03
669004,1,718719,2023-04-03
660670,1,718727,2023-04-03
645277,1,718727,2023-04-03
663586,1,718727,2023-04-03
502671,1,718727,2023-04-03
683002,1,718726,2023-04-03
622761,1,718726,2023-04-03
682985,1,718723,2023-04-03
663837,1,718723,2023-04-03
670541,1,718723,2023-04-03
647304,1,718721,2023-04-03
607054,1,718721,2023-04-03
664913,1,718721,2023-04-03
657656,1,718721,2023-04-03
682998,1,718722,2023-04-03
446334,1,718722,2023-04-03
621311,1,718722,2023-04-03
665742,1,718722,2023-04-03
673490,1,718722,2023-04-03
621493,1,718720,2023-04-03
660271,1,718720,2023-04-03
669257,1,718718,2023-04-03
621035,1,718718,2023-04-03
518792,1,718718,2023-04-03
443558,1,718717,2023-04-04
593428,1,718717,2023-04-04
663757,1,718717,2023-04-04
670770,1,718716,2023-04-04
613564,1,718716,2023-04-04
656413,1,718716,2023-04-04
541645,1,718714,2023-04-04
642350,1,718715,2023-04-04
666139,1,718715,2023-04-04
650490,1,718715,2023-04-04
670042,1,718715,2023-04-04
669016,1,718710,2023-04-04
656941,1,718710,2023-04-04
518934,1,718710,2023-04-04
668804,1,718713,2023-04-04
678225,1,718713,2023-04-04
662139,1,718708,2023-04-04
614177,1,718708,2023-04-04
642133,1,718712,2023-04-04
605119,2,718712,2023-04-04
669003,2,718712,2023-04-04
663586,1,718711,2023-04-04
606115,1,718711,2023-04-04
622761,1,718709,2023-04-04
663624,1,718709,2023-04-04
663993,1,718709,2023-04-04
666969,1,718709,2023-04-04
679529,1,718705,2023-04-04
663656,1,718705,2023-04-04
672356,1,718707,2023-04-04
572041,2,718706,2023-04-04
606192,2,718706,2023-04-04
669257,1,718703,2023-04-04
571970,1,718703,2023-04-04
518792,1,718703,2023-04-04
623912,1,718704,2023-04-05
677551,1,718704,2023-04-05
656941,1,718699,2023-04-05
624431,1,718699,2023-04-05
624585,2,718701,2023-04-05
621566,1,718697,2023-04-05
691023,1,718697,2023-04-05
467793,1,718702,2023-04-05
624413,2,718698,2023-04-05
686894,1,718698,2023-04-05
669003,1,718698,2023-04-05
673962,1,718694,2023-04-05
663656,1,718696,2023-04-05
665161,1,718696,2023-04-05
676801,1,718696,2023-04-05
605204,1,718695,2023-04-05
676116,1,718689,2023-04-05
542583,1,718689,2023-04-05
681351,1,718691,2023-04-05
665489,1,718692,2023-04-05
594807,1,718690,2023-04-06
646240,1,718690,2023-04-06
668670,1,718690,2023-04-06
624415,1,718686,2023-04-06
665489,1,718686,2023-04-06
677951,1,718686,2023-04-06
666165,1,718687,2023-04-06
624424,1,718687,2023-04-06
527038,1,718687,2023-04-06
573262,1,718687,2023-04-06
605204,1,718687,2023-04-06
